Fra_dato;Til_dato;Mængde;Måleenhed;Kvalitet;Type
01-06-2024 00:00:00;01-06-2024 01:00:00;0,121;KWH;Målt;Tidsserie
01-06-2024 01:00:00;01-06-2024 02:00:00;0,12;KWH;Målt;Tidsserie
01-06-2024 02:00:00;01-06-2024 03:00:00;0,122;KWH;Målt;Tidsserie
01-06-2024 03:00:00;01-06-2024 04:00:00;0,124;KWH;Målt;Tidsserie
01-06-2024 04:00:00;01-06-2024 05:00:00;0,106;KWH;Målt;Tidsserie
01-06-2024 05:00:00;01-06-2024 06:00:00;0,131;KWH;Målt;Tidsserie
01-06-2024 06:00:00;01-06-2024 07:00:00;0,309;KWH;Målt;Tidsserie
01-06-2024 07:00:00;01-06-2024 08:00:00;0,405;KWH;Målt;Tidsserie
01-06-2024 08:00:00;01-06-2024 09:00:00;0,973;KWH;Målt;Tidsserie
01-06-2024 09:00:00;01-06-2024 10:00:00;0,932;KWH;Målt;Tidsserie
01-06-2024 10:00:00;01-06-2024 11:00:00;1,524;KWH;Målt;Tidsserie
01-06-2024 11:00:00;01-06-2024 12:00:00;1,494;KWH;Målt;Tidsserie
01-06-2024 12:00:00;01-06-2024 13:00:00;0,414;KWH;Målt;Tidsserie
01-06-2024 13:00:00;01-06-2024 14:00:00;0,272;KWH;Målt;Tidsserie
01-06-2024 14:00:00;01-06-2024 15:00:00;0,279;KWH;Målt;Tidsserie
01-06-2024 15:00:00;01-06-2024 16:00:00;0,192;KWH;Målt;Tidsserie
01-06-2024 16:00:00;01-06-2024 17:00:00;0,148;KWH;Målt;Tidsserie
01-06-2024 17:00:00;01-06-2024 18:00:00;0,483;KWH;Målt;Tidsserie
01-06-2024 18:00:00;01-06-2024 19:00:00;0,122;KWH;Målt;Tidsserie
01-06-2024 19:00:00;01-06-2024 20:00:00;0,141;KWH;Målt;Tidsserie
01-06-2024 20:00:00;01-06-2024 21:00:00;0,113;KWH;Målt;Tidsserie
01-06-2024 21:00:00;01-06-2024 22:00:00;0,113;KWH;Målt;Tidsserie
01-06-2024 22:00:00;01-06-2024 23:00:00;0,108;KWH;Målt;Tidsserie
01-06-2024 23:00:00;02-06-2024 00:00:00;0,108;KWH;Målt;Tidsserie
02-06-2024 00:00:00;02-06-2024 01:00:00;0,124;KWH;Målt;Tidsserie
02-06-2024 01:00:00;02-06-2024 02:00:00;0,096;KWH;Målt;Tidsserie
02-06-2024 02:00:00;02-06-2024 03:00:00;0,35;KWH;Målt;Tidsserie
02-06-2024 03:00:00;02-06-2024 04:00:00;0,645;KWH;Målt;Tidsserie
02-06-2024 04:00:00;02-06-2024 05:00:00;0,093;KWH;Målt;Tidsserie
02-06-2024 05:00:00;02-06-2024 06:00:00;0,125;KWH;Målt;Tidsserie
02-06-2024 06:00:00;02-06-2024 07:00:00;0,61;KWH;Målt;Tidsserie
02-06-2024 07:00:00;02-06-2024 08:00:00;0,166;KWH;Målt;Tidsserie
02-06-2024 08:00:00;02-06-2024 09:00:00;0,194;KWH;Målt;Tidsserie
02-06-2024 09:00:00;02-06-2024 10:00:00;0,123;KWH;Målt;Tidsserie
02-06-2024 10:00:00;02-06-2024 11:00:00;0,132;KWH;Målt;Tidsserie
02-06-2024 11:00:00;02-06-2024 12:00:00;0,165;KWH;Målt;Tidsserie
02-06-2024 12:00:00;02-06-2024 13:00:00;0,138;KWH;Målt;Tidsserie
02-06-2024 13:00:00;02-06-2024 14:00:00;0,212;KWH;Målt;Tidsserie
02-06-2024 14:00:00;02-06-2024 15:00:00;0,121;KWH;Målt;Tidsserie
02-06-2024 15:00:00;02-06-2024 16:00:00;0,102;KWH;Målt;Tidsserie
02-06-2024 16:00:00;02-06-2024 17:00:00;0,937;KWH;Målt;Tidsserie
02-06-2024 17:00:00;02-06-2024 18:00:00;1,097;KWH;Målt;Tidsserie
